date,day,confirmed,recovered,deaths,removed,infected,susceptible,new_confirmed,new_removed,exposed
2020-03-01,0,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-02,1,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-03,2,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-04,3,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-05,4,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-06,5,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-07,6,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-08,7,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-09,8,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-10,9,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-11,10,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-12,11,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-13,12,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-14,13,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-15,14,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-16,15,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-17,16,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-18,17,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-19,18,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-20,19,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-21,20,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-22,21,1.0,1.0,0.0,1.0,0.0,29136807.0,0.0,0.0,0.0
2020-03-23,22,2.0,1.0,0.0,1.0,1.0,29136806.0,1.0,0.0,1.0
2020-03-24,23,2.0,1.0,0.0,1.0,1.0,29136806.0,0.0,0.0,1.0
